District,Firm Name,City,State,Zip,Country/Area,Inspection End Date,Project Area,Center/Program Area,Inspection Classification
DEN,"Davis, Stephen W. , DVM",Wellington,CO,80549-1915,United States,6/18/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DET,"Pfizer, Inc.",Ann Arbor,MI,48105-2430,United States,6/18/2007,Bioresearch Monitoring,CDER,VAI
SAN,HMS Veterinary Development Inc,Tulare,CA,93274-9730,United States,7/6/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DET,Bristol-Myers Squibb Company,Mount Vernon,IN,47620,United States,7/13/2007,Bioresearch Monitoring,CDER,NAI
NOL,"East Tennessee Clinical Research, Inc",Rockwood,TN,37854-5277,United States,7/14/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
PHI,"Research Pathology Services, Inc.",New Britain,PA,18901-5261,United States,7/16/2007,Bioresearch Monitoring,CDER,VAI
DEN,"OSI Pharmaceuticals, Inc",Boulder,CO,80301,United States,7/19/2007,Bioresearch Monitoring,CDER,VAI
NWE,"Charles River Laboratories, Inc.",Wilmington,MA,01887-1096,United States,7/20/2007,Vaccines and Allergenic Products,CBER,VAI
DEN,"Premier  Laboratory, LLC",Longmont,CO,80504-5669,United States,7/25/2007,Bioresearch Monitoring,CDER,NAI
DEN,Charles River Laboratories,Boulder,CO,80301-4230,United States,7/26/2007,Bioresearch Monitoring,CDER,NAI
BLT,"Covance Laboratories, Inc.",Vienna,VA,22182-1656,United States,8/6/2007,Bioresearch Monitoring,CDER,VAI
ATL,"Synchrony Labs, LLC",Durham,NC,27703-8226,United States,8/16/2007,Project Evaluation: Devices,CDRH,NAI
DAL,University of Oklahoma Health Science Center,Oklahoma City,OK,73104-5047,United States,8/21/2007,Vaccines and Allergenic Products,CBER,NAI
NWJ,"Labcorp Early Development Laboratories, Inc.",Somerset,NJ,08873-7378,United States,8/23/2007,Bioresearch Monitoring,CDER,VAI
BLT,Naval Medical Research Center,Silver Spring,MD,20910-7500,United States,8/29/2007,Blood and Blood Products,CBER,VAI
SAN,"Surpass - Silicon Valley, LLC",Mountain View,CA,94043-2314,United States,8/30/2007,Project Evaluation: Devices,CDRH,NAI
NYK,Litron Laboratories,Rochester,NY,14623-2860,United States,9/7/2007,Bioresearch Monitoring,CDER,VAI
NWE,Pfizer Inc. Groton Laboratories,Groton,CT,06340,United States,9/10/2007,Bioresearch Monitoring,CDER,VAI
CIN,"Charles River Laboratories Ashland, LLC",Ashland,OH,44805-8946,United States,9/11/2007,Bioresearch Monitoring,CDER,VAI
BLT,"BASi Gaithersburg, LLC ",Gaithersburg,MD,20878-1759,United States,9/13/2007,Bioresearch Monitoring,CDER,VAI
BLT,Thomas D Morris Inc,Reisterstown,MD,21136-3827,United States,9/13/2007,Project Evaluation: Devices,CDRH,VAI
LOS,Pfizer Inc.,San Diego,CA,92121-1151,United States,9/13/2007,Bioresearch Monitoring,CDER,VAI
NWJ,Fort Dodge Animal Health,Lambertville,NJ,08530-2408,United States,9/13/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWJ,Fort Dodge Animal Health,Monmouth Junction,NJ,08852-1919,United States,9/13/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
CIN,Histo Techniques Ltd,Powell,OH,43065-9331,United States,9/14/2007,Bioresearch Monitoring,CDER,NAI
NWE,"Boehringer Ingelheim Pharmaceuticals, Inc.",Ridgefield,CT,06877-1058,United States,9/14/2007,Bioresearch Monitoring,CDER,NAI
ATL,Experimental Pathology Labs,Durham,NC,27713,United States,9/20/2007,Bioresearch Monitoring,CDER,NAI
NWJ,Hoffmann La Roche Inc,Nutley,NJ,07110-1150,United States,9/20/2007,Bioresearch Monitoring,CDER,VAI
SAN,"Genentech, Inc.",South San Francisco,CA,94080-4918,United States,9/21/2007,Bioresearch Monitoring,CDER,VAI
KAN,Boehringer Ingelheim Vetmedica Inc,Saint Joseph,MO,64506-2002,United States,9/25/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWJ,Sanofi-Aventis U.S. LLC,Bridgewater,NJ,08807-1265,United States,9/25/2007,Bioresearch Monitoring,CDER,VAI
SEA,BASi Northwest Laboratory,McMinnville,OR,97128-8488,United States,9/27/2007,Bioresearch Monitoring,CDER,VAI
BLT,Bioreliance Corporation,Rockville,MD,20850-3304,United States,9/28/2007,Pesticides and Chemical Contaminants,CFSAN,NAI
DET,Pfizer Animal Health,Kalamazoo,MI,49001,United States,9/28/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWJ,Novartis Pharmaceuticals Corporation,East Hanover,NJ,07936-1016,United States,9/28/2007,Bioresearch Monitoring,CDER,VAI
BLT,"BIOCON, Incorporated",Rockville,MD,20850-1360,United States,10/1/2007,Vaccines and Allergenic Products,CBER,VAI
NWJ,Merck & Co Inc,Summit,NJ,07901-1330,United States,10/5/2007,Bioresearch Monitoring,CDER,VAI
MIN,"University of MN, Div. of HOT lab",Minneapolis,MN,55455,United States,10/17/2007,Blood and Blood Products,CBER,VAI
NOL,Ochsner Clinic Foundation,New Orleans,LA,70121-2429,United States,10/29/2007,Vaccines and Allergenic Products,CBER,NAI
CHI,"Tox Monitor Laboratories, Inc.",Oak Park,IL,60302-2401,United States,10/30/2007,Bioresearch Monitoring,CDER,NAI
PHI,Charles River Laboratories Inc.,Horsham,PA,19044-1241,United States,11/5/2007,Bioresearch Monitoring,CDER,NAI
CHI,"Advanced Life Sciences, Inc.",Woodridge,IL,60517-5037,United States,11/6/2007,Food and Color Additives Petition Review,CFSAN,NAI
CHI,Abbott Laboratories,Abbott Park,IL,60064-3502,United States,11/8/2007,Bioresearch Monitoring,CDER,NAI
DEN,Pyxant Labs,Salt Lake City,UT,84124-1214,United States,12/7/2007,Bioresearch Monitoring,CDER,NAI
NWE,Labcorp Bedford LLC.,Bedford,MA,01730-2314,United States,12/7/2007,Bioresearch Monitoring,CDER,VAI
KAN,Midwest Veterinary Services,Oakland,NE,68045-5544,United States,1/11/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DEN,"Microbial Research, Inc",Fort Collins,CO,80525-9768,United States,2/27/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
CHI,"Experimur, A Frontage Company",Chicago,IL,60609-2514,United States,3/13/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DET,Northern Mich Hosp IRB,Petoskey,MI,49770-2212,United States,4/11/2008,Project Evaluation: Devices,CDRH,NAI
NWJ,Bristol-Myers Squibb Company,New Brunswick,NJ,08901-1588,United States,4/14/2008,Bioresearch Monitoring,CDER,VAI
LOS,"Allergan Sales, LLC",Irvine,CA,92612-1531,United States,4/18/2008,Bioresearch Monitoring,CDER,VAI
NWJ,"inVentiv Health Clinical Lab, Inc.",Princeton,NJ,08540-6608,United States,4/18/2008,Bioresearch Monitoring,CDER,NAI
NYK,"Lotte Biologics USA, LLC",East Syracuse,NY,13057-5051,United States,4/18/2008,Bioresearch Monitoring,CDER,VAI
CHI,Baxter Healthcare Corporation,Round Lake,IL,60073-9799,United States,5/5/2008,Bioresearch Monitoring,CDER,NAI
NWJ,Schering Corporation,Lafayette,NJ,07848-4613,United States,5/5/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
KAN,Intervet Inc,De Soto,KS,66018-7103,United States,5/6/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
MIN,Minnesota Valley Testing Laboratories Inc.,New Ulm,MN,56073-1176,United States,5/21/2008,Food and Color Additives Petition Review,CFSAN,VAI
BLT,"Covance Laboratories, Inc.",Vienna,VA,22182-1656,United States,5/22/2008,Food and Color Additives Petition Review,CFSAN,VAI
NWJ,Merial Limited,N Brunswick,NJ,08902-3390,United States,6/10/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
KAN,"Sinclair Research Center, LLC",Auxvasse,MO,65231-1012,United States,6/11/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DET,"Northern Biomedical Research, Inc.",Norton Shores,MI,49456-9634,United States,6/13/2008,Bioresearch Monitoring,CDER,VAI
MIN,"Labcorp Early Development Laboratories, Inc.",Madison,WI,53704-2523,United States,6/13/2008,Bioresearch Monitoring,CDER,VAI
DET,Jbs United Inc,Sheridan,IN,46069-9639,United States,6/25/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,OAI
OII,ITR Laboratories Canada Inc.,Baie-D'Urfe,,,Canada,7/11/2008,Bioresearch Monitoring,CDER,VAI
DET,"Inotiv, Inc",Mount Vernon,IN,47620-9627,United States,7/15/2008,Bioresearch Monitoring,CDER,NAI
NOL,William W Muir III DVM,Harrogate,TN,37752-8245,United States,7/15/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DAL,Alcon Research LLC,Fort Worth,TX,76134-2099,United States,7/17/2008,Bioresearch Monitoring,CDER,NAI
SEA,"Altasciences Preclinical Seattle, LLC",Everett,WA,98203-5898,United States,8/1/2008,Bioresearch Monitoring,CDER,VAI
DET,"Labcorp Early Development Laboratories, Inc.",Greenfield,IN,46140-8501,United States,8/4/2008,Bioresearch Monitoring,CDER,NAI
KAN,"Sinclair Research Center, LLC",Auxvasse,MO,65231-1012,United States,8/6/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
BLT,Charles River Laboratories Inc.,Frederick,MD,21701-3019,United States,8/7/2008,Bioresearch Monitoring,CDER,NAI
NWE,"Smithers ERS, LLC",Wareham,MA,02571-1037,United States,8/8/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
KAN,MRIGlobal,Kansas City,MO,64110-2241,United States,8/20/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
CIN,Battelle Biomedical Research Center,West Jefferson,OH,43162,United States,8/22/2008,Bioresearch Monitoring,CDER,NAI
SEA,Us Fish & Wildlife Svc,Bozeman,MT,59715-8433,United States,8/22/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
BLT,GlaxoSmithKline dba Human Genome Sciences Inc,Rockville,MD,20850-3957,United States,9/4/2008,Bioresearch Monitoring,CDER,VAI
DEN,Colorado Histo-Prep,Fort Collins,CO,80526-5556,United States,9/5/2008,Bioresearch Monitoring,CDER,VAI
KAN,Seventh Wave Laboratories LLC dba Inotiv,Maryland Heights,MO,63043-3805,United States,9/10/2008,Bioresearch Monitoring,CDER,NAI
PHI,"Janssen Biotech, Inc.",Malvern,PA,19355-1307,United States,9/12/2008,Bioresearch Monitoring,CDER,VAI
CHI,"Experimur, A Frontage Company",Chicago,IL,60609-2514,United States,9/19/2008,Bioresearch Monitoring,CDER,NAI
DET,Charles River Laboratories,Mattawan,MI,49071-8353,United States,9/19/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
KAN,"BOEHRINGER INGELHEIM ANIMAL HEALTH USA, INC",Fulton,MO,65251-3318,United States,9/22/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SAN,"Exelixis, Inc.",Alameda,CA,94502-3016,United States,9/24/2008,Bioresearch Monitoring,CDER,VAI
BLT,Bioreliance Corporation,Rockville,MD,20850-3304,United States,9/29/2008,Vaccines and Allergenic Products,CBER,OAI
CIN,"Frontage Laboratories, Inc.",Concord Township,OH,44077-9041,United States,9/30/2008,Bioresearch Monitoring,CDER,VAI
MIN,Genesis Midwest Laboratories,Neillsville,WI,54456-8773,United States,10/1/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
BLT,"Washington Biotechnology, Inc",Baltimore,MD,21224-6536,United States,10/3/2008,Bioresearch Monitoring,CDER,OAI
BLT,"Washington Biotechnology, Inc",Baltimore,MD,21224-6536,United States,10/3/2008,Vaccines and Allergenic Products,CBER,OAI
NWJ,"J&J Pharmaceutical Research & Development, L.L.C.",Raritan,NJ,08869-1425,United States,10/23/2008,Bioresearch Monitoring,CDER,VAI
CIN,"North American Science Associates, LLC",Northwood,OH,43619-1012,United States,11/14/2008,Project Evaluation: Devices,CDRH,VAI
DET,Charles River Laboratories,Mattawan,MI,49071-8353,United States,11/17/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
CIN,Octapharma Plasma Inc,Cleveland,OH,44111-5411,United States,11/19/2008,Blood and Blood Products,CBER,VAI
BLT,"BASi Gaithersburg, LLC ",Gaithersburg,MD,20878-1759,United States,11/21/2008,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
BLT,Sitek Research Laboratories,Rockville,MD,20850-6276,United States,11/24/2008,Bioresearch Monitoring,CDER,OAI
NWJ,SGS North America Inc.,Fairfield,NJ,07004-3509,United States,12/18/2008,Bioresearch Monitoring,CDER,VAI
NWJ,"Labcorp Early Development Laboratories, Inc.",Somerset,NJ,08873-7378,United States,12/22/2008,Bioresearch Monitoring,CDER,VAI
KAN,"Catalent CTS, LLC",Kansas City,MO,64137-1418,United States,2/4/2009,Bioresearch Monitoring,CDER,NAI
PHI,Sanofi-aventis,Malvern,PA,19355-1304,United States,3/12/2009,Bioresearch Monitoring,CDER,NAI
DAL,"BERTEK, INC.",Greenbrier,AR,72058-0606,United States,4/1/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
ATL,Research Triangle Institute,Durham,NC,27709,United States,4/9/2009,Food and Color Additives Petition Review,CFSAN,VAI
CIN,StageBio,Mason,OH,45040-9412,United States,4/16/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
BLT,"BASi Gaithersburg, LLC ",Gaithersburg,MD,20878-1759,United States,4/22/2009,Bioresearch Monitoring,CDER,VAI
NYK,"Continuum Health Partners , Inc.",New York,NY,10019-2929,United States,4/29/2009,"Human Cellular, Tissue, and Gene Therapies",CBER,OAI
NWE,Pfizer Inc. Groton Laboratories,Groton,CT,06340,United States,5/8/2009,Bioresearch Monitoring,CDER,VAI
DEN,Redbeast Enterprises Inc dba High Quality Research,Fort Collins,CO,80525-4433,United States,5/11/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
PHI,"Calvert Laboratories, Inc.",Scott Township,PA,18447-9600,United States,5/15/2009,Bioresearch Monitoring,CDER,NAI
NYK,Litron Laboratories,Rochester,NY,14623-2860,United States,6/2/2009,Bioresearch Monitoring,CDER,VAI
NWJ,Fort Dodge Animal Health,Lambertville,NJ,08530-2408,United States,6/5/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
PHI,Merck Sharp & Dohme LLC,West Point,PA,19486,United States,6/5/2009,Bioresearch Monitoring,CDER,NAI
NWJ,Fort Dodge Animal Health,Monmouth Junction,NJ,08852-1919,United States,6/8/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
NWE,Labcorp Bedford LLC.,Bedford,MA,01730-2314,United States,6/16/2009,Bioresearch Monitoring,CDER,VAI
MIN,MCW Lab at Marquette,Milwaukee,WI,53233-2214,United States,7/9/2009,Project Evaluation: Devices,CDRH,NAI
OII,National Beijing Center For Drug Safety Evaluation And Resea,Beijing,,,China,7/10/2009,Bioresearch Monitoring,CDER,VAI
DET,Pfizer Animal Health,Kalamazoo,MI,49001,United States,7/15/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
CIN,Battelle Memorial Institute,Columbus,OH,43201-2696,United States,7/16/2009,Bioresearch Monitoring,CDER,VAI
CIN,Battelle Memorial Institute,Columbus,OH,43201-2696,United States,7/16/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
NWJ,"inVentiv Health Clinical Lab, Inc.",Princeton,NJ,08540-6608,United States,7/17/2009,Bioresearch Monitoring,CDER,NAI
OII,Joinn Laboratories Co. Ltd.,Beijing,,,China,7/17/2009,Bioresearch Monitoring,CDER,VAI
BLT,"Covance Laboratories, Inc.",Vienna,VA,22182-1656,United States,7/22/2009,Bioresearch Monitoring,CDER,VAI
DAL,Department of Veterans Affairs,San Antonio,TX,78229-4404,United States,7/23/2009,Project Evaluation: Devices,CDRH,NAI
NWJ,"QualTech Laboratories, Inc.",Ocean,NJ,07712-3103,United States,7/24/2009,"Human Cellular, Tissue, and Gene Therapies",CBER,VAI
OII,Pharmaron,Beijing,,,China,7/24/2009,Bioresearch Monitoring,CDER,VAI
MIN,USGS - UMESC,La Crosse,WI,54603-1223,United States,7/30/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NOL,Southern Research Institute,Birmingham,AL,35205-2708,United States,8/7/2009,Bioresearch Monitoring,CDER,VAI
NWJ,Schering Corporation,Lafayette,NJ,07848-4613,United States,8/7/2009,Bioresearch Monitoring,CDER,VAI
NWE,"Biomedical Research Models, Inc. d/b/a Biomere",Worcester,MA,01608-1114,United States,8/11/2009,Vaccines and Allergenic Products,CBER,NAI
CIN,"Frontage Laboratories, Inc.",Concord Township,OH,44077-9041,United States,8/14/2009,Bioresearch Monitoring,CDER,VAI
FLA,Florida Atlantic University IRB,Boca Raton,FL,33431-6424,United States,8/14/2009,Project Evaluation: Devices,CDRH,OAI
DEN,Charles River Laboratories,Boulder,CO,80301-4230,United States,8/18/2009,Bioresearch Monitoring,CDER,NAI
MIN,"The Integra Group, Inc.",Minneapolis,MN,55443,United States,8/18/2009,"Human Cellular, Tissue, and Gene Therapies",CBER,VAI
MIN,"Twin Cities Histology, LLC",Minneapolis,MN,55443-1911,United States,8/18/2009,"Human Cellular, Tissue, and Gene Therapies",CBER,NAI
DEN,"New Mexico State University, Dept of Animal & Range Sciences",Las Cruces,NM,88003,United States,8/19/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
BLT,"Institute for In Vitro Sciences, Inc.",Gaithersburg,MD,20878-4005,United States,8/21/2009,Bioresearch Monitoring,CDER,NAI
BLT,"Experimental Pathology Laboratories, Inc.",Sterling,VA,20166-4302,United States,8/24/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
LOS,"Amgen, Inc.",Thousand Oaks,CA,91320-1730,United States,8/25/2009,Bioresearch Monitoring,CDER,NAI
DAL,Texas Biomedical Research Institute,San Antonio,TX,78227-5302,United States,8/28/2009,Bioresearch Monitoring,CDER,NAI
DEN,Lovelace Biomedical Research Institute,Albuquerque,NM,87185,United States,8/28/2009,Bioresearch Monitoring,CDER,VAI
SEA,"Johnson Research, LLC",Parma,ID,83660,United States,9/2/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DET,Bristol-Myers Squibb Company,Mount Vernon,IN,47620,United States,9/3/2009,Bioresearch Monitoring,CDER,NAI
DEN,"Southwest Bio-Labs, Inc.",Las Cruces,NM,88005-8131,United States,9/4/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,OAI
SEA,MDS Pharma Services,Bothell,WA,98021-4903,United States,9/4/2009,Bioresearch Monitoring,CDER,VAI
CIN,"Frontage Laboratories, Inc.",Concord Township,OH,44077-9041,United States,9/9/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
MIN,Medtronic Physiological Research Lab,Minneapolis,MN,55448-3105,United States,9/18/2009,Project Evaluation: Devices,CDRH,VAI
NYK,Roswell Park Cancer Institute,Buffalo,NY,14263-0001,United States,9/22/2009,Bioresearch Monitoring,CDER,NAI
CHI,"Charles River Laboratories, LLC",Skokie,IL,60077-5316,United States,9/24/2009,Bioresearch Monitoring,CDER,NAI
DAL,Univ. of TX M.D. Anderson C.C. Dept. of Veterinary Sciences,Bastrop,TX,78602-6621,United States,9/24/2009,Bioresearch Monitoring,CDER,NAI
DEN,"OSI Pharmaceuticals, Inc",Boulder,CO,80301,United States,9/24/2009,Bioresearch Monitoring,CDER,NAI
NWJ,"Xenobiotic Laboratories, Inc.",Plainsboro,NJ,08536-3339,United States,9/24/2009,Bioresearch Monitoring,CDER,VAI
CIN,Charles River Laboratories Inc,Spencerville,OH,45887-1064,United States,9/25/2009,Bioresearch Monitoring,CDER,VAI
NWE,"Boehringer Ingelheim Pharmaceuticals, Inc.",Ridgefield,CT,06877-1058,United States,9/25/2009,Bioresearch Monitoring,CDER,NAI
DEN,Colorado State University,Fort Collins,CO,80521-2807,United States,9/29/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DET,Jbs United Inc,Sheridan,IN,46069-9639,United States,10/7/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,OAI
CIN,Cardiovascular Innovation Institute,Louisville,KY,40202-1572,United States,10/8/2009,Project Evaluation: Devices,CDRH,NAI
NWJ,"Eurofins Scientific, Inc.",East Brunswick,NJ,08816-3206,United States,10/14/2009,Bioresearch Monitoring,CDER,VAI
NWJ,Product Safety Labs,Dayton,NJ,08810-1500,United States,10/14/2009,Bioresearch Monitoring,CDER,VAI
ATL,BRT- Burleson Research Technologies,Morrisville,NC,27560-8529,United States,10/21/2009,Bioresearch Monitoring,CDER,NAI
NWJ,Intervet Inc. (d/b/a Merck Animal Health),Rahway,NJ,07065,United States,10/21/2009,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,OAI
ATL,Charles River Laboratories,Durham,NC,27703-9399,United States,10/22/2009,Bioresearch Monitoring,CDER,NAI
SAN,"Charles River Laboratories, Inc.",Reno,NV,89511-1227,United States,10/23/2009,Bioresearch Monitoring,CDER,VAI
CIN,"Charles River Laboratories Ashland, LLC",Ashland,OH,44805-8946,United States,10/30/2009,Bioresearch Monitoring,CDER,VAI
CHI,"Charles River Laboratories, Inc- IL",Chicago,IL,60612-4670,United States,11/4/2009,Bioresearch Monitoring,CDER,VAI
DEN,"Bolder BioPATH, Inc.",Boulder,CO,80301-2944,United States,11/16/2009,Bioresearch Monitoring,CDER,NAI
MIN,"CVRx, Inc.",Minneapolis,MN,55445-1925,United States,11/18/2009,Project Evaluation: Devices,CDRH,NAI
NYK,Pfizer Research Chazy DSRD,Chazy,NY,12921-2420,United States,11/18/2009,Bioresearch Monitoring,CDER,NAI
SEA,"Altasciences Preclinical Seattle, LLC",Everett,WA,98203-5898,United States,11/20/2009,Bioresearch Monitoring,CDER,OAI
KAN,"Eurofins BioPharma Product Testing Columbia, Inc.",Columbia,MO,65201-8949,United States,11/25/2009,Bioresearch Monitoring,CDER,VAI
LOS,"Molecular Diagnostics Services, Inc.",San Diego,CA,92121-1445,United States,12/7/2009,Vaccines and Allergenic Products,CBER,VAI
ATL,St. Josephs Translational Research Institute,Atlanta,GA,30313-2439,United States,12/11/2009,"Human Cellular, Tissue, and Gene Therapies",CBER,NAI
NYK,"Angioblast Systems Inc.,",New York,NY,10016,United States,12/17/2009,Bioresearch Monitoring,CDER,NAI
CIN,"Frontage Laboratories, Inc.",Concord Township,OH,44077-9041,United States,1/14/2010,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
NOL,Pluris Research Inc,Nashville,TN,37208-2931,United States,1/21/2010,"Human Cellular, Tissue, and Gene Therapies",CBER,NAI
ATL,Catalent Pharma Solutions LLC,Morrisville,NC,27560-9570,United States,2/5/2010,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
CHI,"Charles River Laboratories, Inc- IL",Chicago,IL,60612-4670,United States,2/24/2010,Food and Color Additives Petition Review,CFSAN,NAI
NYK,Cardiovascular Research Foundation,Orangeburg,NY,10962-2614,United States,3/1/2010,"Human Cellular, Tissue, and Gene Therapies",CBER,NAI
NYK,Cardiovascular Research Foundation,Orangeburg,NY,10962-2614,United States,3/1/2010,Project Evaluation: Devices,CDRH,OAI
NWE,"Charles River Laboratories, Inc.",Shrewsbury,MA,01545-4172,United States,3/3/2010,Bioresearch Monitoring,CDER,VAI
NOL,Memorial Health Care System Institutional Review Board,Chattanooga,TN,37406,United States,3/12/2010,Bioresearch Monitoring,CDER,VAI
LOS,"Pharmaron (San Diego) Lab Services,  LLC",Carlsbad,CA,92010-6608,United States,3/19/2010,"Human Cellular, Tissue, and Gene Therapies",CBER,VAI
DET,"Inotiv, Inc",Mount Vernon,IN,47620-9627,United States,3/23/2010,Bioresearch Monitoring,CDER,NAI
ATL,North Carolina State University- Laelom (non-clinical lab),Raleigh,NC,27606-1428,United States,3/25/2010,Bioresearch Monitoring,CDER,NAI
NWJ,Novartis Pharmaceuticals Corporation,East Hanover,NJ,07936-1016,United States,4/20/2010,Bioresearch Monitoring,CDER,VAI
KAN,Veterinary Resources Inc,Ames,IA,50010-7718,United States,4/21/2010,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DAL,Stillmeadow Incorporated,Sugar Land,TX,77478-2521,United States,4/28/2010,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
PHI,Charles River Laboratories Inc.,Horsham,PA,19044-1241,United States,5/14/2010,Bioresearch Monitoring,CDER,NAI
DET,"Cheri-Hill Kennel And Supply, Inc.",Stanwood,MI,49346-9541,United States,5/18/2010,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
ATL,GlaxoSmithKline LLC,Durham,NC,27701-3986,United States,5/21/2010,Bioresearch Monitoring,CDER,NAI
NWE,"Accuro Farms, Inc",Southbridge,MA,01550-3145,United States,6/2/2010,Project Evaluation: Devices,CDRH,NAI
NWE,"CBSET, Inc.",Lexington,MA,02421-2301,United States,6/3/2010,Project Evaluation: Devices,CDRH,NAI
NWE,DaVinci Biomedical Research INC,South Lancaster,MA,01561,United States,6/3/2010,Project Evaluation: Devices,CDRH,NAI
PHI,"Calvert Laboratories, Inc.",Scott Township,PA,18447-9600,United States,6/4/2010,Bioresearch Monitoring,CDER,NAI
LOS,Pfizer Inc.,San Diego,CA,92121-1151,United States,6/11/2010,Bioresearch Monitoring,CDER,VAI
LOS,"Allergan Sales, LLC",Irvine,CA,92612-1531,United States,6/14/2010,Bioresearch Monitoring,CDER,VAI
SAN,"Comparative Biosciences, Inc",Sunnyvale,CA,94085-3844,United States,6/23/2010,Bioresearch Monitoring,CDER,VAI
PHI,"QPS, LLC",Newark,DE,19711-5456,United States,6/25/2010,Bioresearch Monitoring,CDER,VAI
BLT,Bioqual Inc,Rockville,MD,20850-3336,United States,7/7/2010,"Human Cellular, Tissue, and Gene Therapies",CBER,NAI
DET,Charles River Laboratories,Mattawan,MI,49071-8353,United States,7/7/2010,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
CHI,"Tox Monitor Laboratories, Inc.",Oak Park,IL,60302-2401,United States,7/14/2010,Bioresearch Monitoring,CDER,VAI
DAL,INCELL Corporation LLC,San Antonio,TX,78249-3424,United States,7/15/2010,Vaccines and Allergenic Products,CBER,NAI
CIN,"Charles River Laboratories Cleveland, Inc.",Cleveland,OH,44128-3156,United States,7/16/2010,Bioresearch Monitoring,CDER,VAI
LOS,The Lundquist Institute for Biomedical Innovation,Torrance,CA,90502-2006,United States,7/22/2010,Project Evaluation: Devices,CDRH,VAI
NWJ,"Merck & Co., Inc.",Union,NJ,07083-7120,United States,7/30/2010,Bioresearch Monitoring,CDER,VAI
DAL,Alcon Research LLC,Fort Worth,TX,76134-2099,United States,8/13/2010,Bioresearch Monitoring,CDER,NAI
MIN,"Labcorp Early Development Laboratories, Inc.",Madison,WI,53704-2523,United States,8/19/2010,Bioresearch Monitoring,CDER,VAI
PHI,Merck Sharp & Dohme LLC,West Point,PA,19486,United States,8/20/2010,Bioresearch Monitoring,CDER,NAI
CIN,University Of Kentucky College Of Agriculture,Lexington,KY,40546-0001,United States,8/23/2010,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,OAI
CIN,Battelle Biomedical Research Center,West Jefferson,OH,43162,United States,8/26/2010,Vaccines and Allergenic Products,CBER,NAI
